Unit is Amprere per meter (e-11)

#	Value 	X 	Y 	Z 	Time

77	4.953654	-0.74048597	-1.9455004	-4.4950414	0:30:4:407
78	4.922049	-0.7006254	-1.971563	-4.45518	0:30:4:443
79	4.920485	-0.69755924	-1.9194376	-4.476644	0:30:4:492
80	4.946658	-0.7481514	-1.8811102	-4.5134377	0:30:4:532
81	5.001316	-0.7834127	-1.878044	-4.5686297	0:30:4:574
82	5.0170956	-0.78187954	-1.9056398	-4.5747623	0:30:4:609
83	5.0188127	-0.76961476	-1.9041067	-4.5793614	0:30:4:645
84	5.0224614	-0.7834127	-1.9117723	-4.5778284	0:30:4:693
85	5.0115633	-0.7849458	-1.940901	-4.553299	0:30:4:728
86	4.963943	-0.7619493	-1.9025736	-4.5211034	0:30:4:774
87	4.995785	-0.7757471	-1.8627131	-4.570163	0:30:4:844
88	5.002154	-0.8094753	-1.8351172	-4.582427	0:30:4:894
89	4.9390388	-0.7144233	-1.9286363	-4.490442	0:30:4:935
90	4.8397627	-0.63930154	-1.9976256	-4.3616614	0:30:4:977
91	4.8307405	-0.62856984	-2.0420856	-4.332533	0:30:5:26
92	4.8909492	-0.69755924	-1.9608313	-4.4260516	0:30:5:64
93	4.9573245	-0.75275075	-1.9071729	-4.5134377	0:30:5:111
94	5.0098615	-0.77881336	-1.9025736	-4.5686297	0:30:5:148
95	5.002957	-0.7742141	-1.9301693	-4.5502324	0:30:5:198
96	4.976603	-0.75428385	-1.9455004	-4.5180373	0:30:5:247
97	4.959786	-0.7496845	-1.92557	-4.5088387	0:30:5:286
98	4.9236383	-0.74048597	-1.893375	-4.484309	0:30:5:325
99	4.9329925	-0.72055566	-1.9393679	-4.478177	0:30:5:359
100	5.0062375	-0.74048597	-1.9730961	-4.5410337	0:30:5:407
101	5.0067773	-0.7604162	-1.9455004	-4.5502324	0:30:5:445
102	4.9750338	-0.74048597	-1.9071729	-4.5349016	0:30:5:491
103	4.9555416	-0.68222827	-1.9853609	-4.488909	0:30:5:540
104	4.9801173	-0.70369166	-2.0114233	-4.501173	0:30:5:575
105	5.0247498	-0.7619493	-1.9730961	-4.557898	0:30:5:610
106	4.9935226	-0.7220888	-2.003758	-4.5165043	0:30:5:656
107	4.931969	-0.6592318	-2.0405524	-4.4413824	0:30:5:692
108	4.9306755	-0.68682754	-2.0282876	-4.4413824	0:30:5:728
109	4.9571834	-0.72515494	-1.9776953	-4.4873757	0:30:5:772
110	4.9139085	-0.66536415	-2.0482178	-4.4168534	0:30:5:823
111	4.940444	-0.7113571	-2.0098903	-4.4567137	0:30:5:860
112	4.982162	-0.7619493	-1.9531659	-4.5195704	0:30:5:909
113	4.990875	-0.7604162	-1.9546989	-4.528769	0:30:5:959
114	4.995151	-0.74661833	-1.9531659	-4.5364347	0:30:5:994
115	4.9228883	-0.7113571	-1.9347687	-4.4705114	0:30:6:41
116	4.884538	-0.7021585	-1.9500996	-4.422985	0:30:6:91
117	4.8861246	-0.6852944	-2.0144897	-4.398456	0:30:6:141
118	4.811806	-0.61783814	-2.0589495	-4.304937	0:30:6:175
119	4.7762465	-0.5979079	-2.0681481	-4.263543	0:30:6:209
120	4.9081693	-0.69295996	-1.9776953	-4.4383163	0:30:6:259
121	4.99462	-0.77881336	-1.9102391	-4.5486994	0:30:6:308
122	4.996355	-0.78034645	-1.8995074	-4.554832	0:30:6:343
123	4.980004	-0.7711479	-1.9225038	-4.528769	0:30:6:390
124	4.9383307	-0.7512176	-1.9163715	-4.488909	0:30:6:426
125	4.976766	-0.7757471	-1.8903089	-4.5379677	0:30:6:474
126	4.9810715	-0.7742141	-1.8949082	-4.5410337	0:30:6:512
127	5.007306	-0.75734997	-1.9516327	-4.5486994	0:30:6:558
128	4.9442863	-0.72975427	-1.9853609	-4.4689784	0:30:6:604
129	4.9326825	-0.7374197	-1.9638975	-4.464379	0:30:6:643
130	4.925073	-0.73588663	-1.9592981	-4.4582467	0:30:6:688
131	4.894504	-0.67762893	-1.986894	-4.421452	0:30:6:725
132	4.946742	-0.7113571	-1.9669636	-4.482776	0:30:6:764
133	5.028938	-0.80027676	-1.8811102	-4.594692	0:30:6:810
134	4.9894896	-0.7864788	-1.8335843	-4.5732293	0:30:6:846
135	4.977798	-0.7634824	-1.845849	-4.559431	0:30:6:891
136	5.015389	-0.7864788	-1.891842	-4.5778284	0:30:6:927
137	5.0160093	-0.7956774	-1.9117723	-4.5686297	0:30:6:977
138	4.9484124	-0.7512176	-1.8734448	-4.5180373	0:30:7:12
139	4.9318147	-0.76961476	-1.782992	-4.533368	0:30:7:62
140	4.933906	-0.772681	-1.8029222	-4.527236	0:30:7:97
141	4.9450502	-0.7665486	-1.8841765	-4.5073056	0:30:7:144
142	4.964756	-0.772681	-1.8857095	-4.527236	0:30:7:179
143	4.9869337	-0.7772803	-1.8795772	-4.553299	0:30:7:225
144	4.946106	-0.74201906	-1.9148384	-4.49964	0:30:7:260
145	4.8679037	-0.67149657	-1.9746293	-4.398456	0:30:7:308
146	4.950437	-0.72975427	-1.9271032	-4.501173	0:30:7:356
147	4.950057	-0.7604162	-1.8703786	-4.5195704	0:30:7:395
148	4.962674	-0.78034645	-1.8320512	-4.5456333	0:30:7:430
149	4.9932976	-0.75428385	-1.8872427	-4.560964	0:30:7:474
150	4.977935	-0.7374197	-1.8903089	-4.5456333	0:30:7:512
151	4.9743886	-0.7558169	-1.8473821	-4.556365	0:30:7:557
152	4.9705653	-0.7236219	-1.9056398	-4.533368	0:30:7:592
153	4.955167	-0.662298	-2.0083573	-4.481243	0:30:7:639
154	4.9359674	-0.68222827	-1.9746293	-4.4720445	0:30:7:675
155	4.970701	-0.726688	-1.9301693	-4.5226364	0:30:7:710
156	5.014851	-0.75428385	-1.9071729	-4.5762954	0:30:7:757
157	5.00548	-0.74048597	-1.9209708	-4.562497	0:30:7:794
158	4.9911594	-0.74355215	-1.9225038	-4.5456333	0:30:7:844
159	4.992129	-0.75734997	-1.9087061	-4.5502324	0:30:7:881
160	5.0177355	-0.7588831	-1.8795772	-4.5900927	0:30:7:926
161	4.999807	-0.726688	-1.9041067	-4.5655637	0:30:7:962
162	4.975434	-0.72975427	-1.9087061	-4.5364347	0:30:8:9
163	4.9848223	-0.74201906	-1.9102391	-4.5441003	0:30:8:47
164	4.9706516	-0.72975427	-1.9071729	-4.531835	0:30:8:95
165	4.9752965	-0.73282045	-1.9071729	-4.5364347	0:30:8:129
166	4.964448	-0.68682754	-1.9500996	-4.5134377	0:30:8:178
167	4.978314	-0.7006254	-1.9378347	-4.531835	0:30:8:212
168	5.0211897	-0.7512176	-1.891842	-4.5900927	0:30:8:258
169	5.0051384	-0.709824	-1.9638975	-4.5486994	0:30:8:309
170	4.98319	-0.69755924	-1.9761623	-4.5211034	0:30:8:345
171	4.9516764	-0.6960261	-1.8995074	-4.5195704	0:30:8:393
172	4.9766264	-0.709824	-1.940901	-4.527236	0:30:8:444
173	5.0018015	-0.7512176	-1.9071729	-4.562497	0:30:8:479
174	4.9543843	-0.6990923	-1.9378347	-4.5057726	0:30:8:526
175	4.953817	-0.694493	-1.9056398	-4.5195704	0:30:8:576
176	5.0020113	-0.74201906	-1.878044	-4.5762954	0:30:8:611
177	5.0122237	-0.72975427	-1.9317025	-4.5670967	0:30:8:645
178	4.9880786	-0.6914269	-1.9730961	-4.528769	0:30:8:692
179	5.001224	-0.6990923	-1.9577651	-4.5486994	0:30:8:726
180	5.00116	-0.7343536	-1.9010404	-4.5670967	0:30:8:762
181	4.9816055	-0.7128902	-1.9056398	-4.5471663	0:30:8:807
182	4.9687643	-0.694493	-1.9117723	-4.533368	0:30:8:845
183	4.9544296	-0.6898937	-1.8979743	-4.52417	0:30:8:893
184	4.9736395	-0.7006254	-1.8519814	-4.562497	0:30:8:927
185	4.9711185	-0.6990923	-1.8381835	-4.5655637	0:30:8:976
186	4.9894834	-0.74048597	-1.8335843	-4.580894	0:30:9:13
187	4.992909	-0.7558169	-1.828985	-4.5839605	0:30:9:60
188	4.998991	-0.726688	-1.9056398	-4.5640306	0:30:9:109
189	5.012496	-0.73128736	-1.9025736	-4.5793614	0:30:9:144
190	5.011307	-0.7619493	-1.8535146	-4.593159	0:30:9:199
191	5.0254374	-0.77881336	-1.8274518	-4.6161556	0:30:9:245
192	4.997698	-0.7282212	-1.8979743	-4.5655637	0:30:9:291
193	4.9573207	-0.7052247	-1.9071729	-4.5211034	0:30:9:325
194	4.9727116	-0.7374197	-1.8765109	-4.5456333	0:30:9:365
195	5.0022936	-0.7558169	-1.8657793	-4.5793614	0:30:9:409
